node_id,node_name,latitude,longitude,reeds_ba,voltage,load_participation_factor,bus_type,area,geometry,ReEDS_Region_UPDATE,nercr,transreg,subFERC,cendiv,st,interconnect,country,usda,aggreg,last_digits_node_id,id,FromBus,ToBus,Vn [kV],Length[km],Remarks,CKT,R [pu],X [pu],B [pu],Rate1[MVA],Rate2[MVA],Add [Y/N],Type,GeomCode,Conductor,Area,ReEDS_Region,Longitude,Latitude,last_digits_ToBus
10135250,DUNKIRK_135250,42.49,-79.35,p127,230.0,0.0,PQ,102_EI,"POINT(42.49,-79.35)",p127,NPCC_NY,NYISO,NYISO_UP,MA,NY,eastern,USA,northeast,NY_UP,135250,83,700004,135250,345230,0.0,New 345/230 kV 2W Transformer,1.0,0.0,0.12,0,2000.0,2400.0,Y,2TF,,,,,,,135250
10135250,DUNKIRK_135250,42.49,-79.35,p127,230.0,0.0,PQ,102_EI,"POINT(42.49,-79.35)",p127,NPCC_NY,NYISO,NYISO_UP,MA,NY,eastern,USA,northeast,NY_UP,135250,84,700004,135250,345230,0.0,New 345/230 kV 2W Transformer,2.0,0.0,0.12,0,2000.0,2400.0,Y,2TF,,,,,,,135250
10541201,SIBLEY 7_541201,39.18,-94.18,p54,345.0,0.0,PQ,541_EI,"POINT(39.18,-94.18)",p54,SPP,SPP,SPP_South,WNC,MO,eastern,USA,corn-belt,MO_SPP,541201,335,700024,541201,500345,0.0,New 500/345kV 2W Transformer,1.0,0.0,0.12,0,2000.0,2000.0,Y,2TF,,,,,,,541201
10541201,SIBLEY 7_541201,39.18,-94.18,p54,345.0,0.0,PQ,541_EI,"POINT(39.18,-94.18)",p54,SPP,SPP,SPP_South,WNC,MO,eastern,USA,corn-belt,MO_SPP,541201,336,700024,541201,500345,0.0,New 500/345kV 2W Transformer,2.0,0.0,0.12,0,2000.0,2000.0,Y,2TF,,,,,,,541201
10515136,SUNNYSD7_515136,34.19,-97.24,p50,345.0,0.0,PQ,524_EI,"POINT(34.19,-97.24)",p50,SPP,SPP,SPP_South,WSC,OK,eastern,USA,southern-plains,OK,515136,272,700010,515136,500345,0.0,New 500/345kV 2W Transformer,1.0,0.0,0.12,0,2000.0,2000.0,Y,2TF,,,,,,,515136
10515136,SUNNYSD7_515136,34.19,-97.24,p50,345.0,0.0,PQ,524_EI,"POINT(34.19,-97.24)",p50,SPP,SPP,SPP_South,WSC,OK,eastern,USA,southern-plains,OK,515136,273,700010,515136,500345,0.0,New 500/345kV 2W Transformer,2.0,0.0,0.12,0,2000.0,2000.0,Y,2TF,,,,,,,515136
10523097,HITCHLAND  7_523097,36.5,-101.39,p48,345.0,0.0,PQ,526_EI,"POINT(36.5,-101.39)",p48,SPP,SPP,SPP_South,WSC,TX,eastern,USA,southern-plains,TX_SPP_N,523097,320,700020,523097,500345,0.0,New 500/345kV 2W Transformer,1.0,0.0,0.12,0,2000.0,2000.0,Y,2TF,,,,,,,523097
10523097,HITCHLAND  7_523097,36.5,-101.39,p48,345.0,0.0,PQ,526_EI,"POINT(36.5,-101.39)",p48,SPP,SPP,SPP_South,WSC,TX,eastern,USA,southern-plains,TX_SPP_N,523097,321,700020,523097,500345,0.0,New 500/345kV 2W Transformer,2.0,0.0,0.12,0,2000.0,2000.0,Y,2TF,,,,,,,523097
10344974,7LUTESVIL_344974,37.26,-89.84,p72,345.0,0.0,PQ,356_EI,"POINT(37.26,-89.84)",p72,MISO,MISO,MISO_Central,WNC,MO,eastern,USA,corn-belt,MO_MISO,344974,302,700016,344974,500345,0.0,New 500/345kV 2W Transformer,1.0,0.0,0.12,0,2000.0,2000.0,Y,2TF,,,,,,,344974
10344974,7LUTESVIL_344974,37.26,-89.84,p72,345.0,0.0,PQ,356_EI,"POINT(37.26,-89.84)",p72,MISO,MISO,MISO_Central,WNC,MO,eastern,USA,corn-belt,MO_MISO,344974,303,700016,344974,500345,0.0,New 500/345kV 2W Transformer,2.0,0.0,0.12,0,2000.0,2000.0,Y,2TF,,,,,,,344974
