node_id,node_name,latitude,longitude,reeds_ba,voltage,load_participation_factor,bus_type,area,geometry,ReEDS_Region_UPDATE,nercr,transreg,subFERC,cendiv,st,interconnect,country,usda,aggreg,last_digits_node_id,id,FromBus,ToBus,Vn [kV],Length[km],Remarks,CKT,R [pu],X [pu],B [pu],Rate1[MVA],Rate2[MVA],Add [Y/N],Type,GeomCode,Conductor,Area,ReEDS_Region,Longitude,Latitude,last_digits_ToBus
30005728,CHOATESUB8  -5728,28.79802,-97.76138,,138.0,0.0,PQ,5728_ERCOT,"POINT(28.79802,-97.76138)",p65,ERCOT,ERCOT,ERCOT_S,WSC,TX,texas,USA,southern-plains,TX_S_ERCOT,5728,107,700016,5728,345138,0.0,New 345/138 kV 2W Transformer,1.0,0.0,0.12,0,2000,2000,Y,2TF,,,,,,,5728
30005728,CHOATESUB8  -5728,28.79802,-97.76138,,138.0,0.0,PQ,5728_ERCOT,"POINT(28.79802,-97.76138)",p65,ERCOT,ERCOT,ERCOT_S,WSC,TX,texas,USA,southern-plains,TX_S_ERCOT,5728,108,700016,5728,345138,0.0,New 345/138 kV 2W Transformer,2.0,0.0,0.12,0,2000,2000,Y,2TF,,,,,,,5728
30005827,MOORESW8    -5827,29.077257,-99.045925,,138.0,0.0,PQ,5827_ERCOT,"POINT(29.077257,-99.045925)",p65,ERCOT,ERCOT,ERCOT_S,WSC,TX,texas,USA,southern-plains,TX_S_ERCOT,5827,75,700013,5827,345138,0.0,New 345/138 kV 2W Transformer,1.0,0.0,0.12,0,2000,2000,Y,2TF,,,,,,,5827
30005827,MOORESW8    -5827,29.077257,-99.045925,,138.0,0.0,PQ,5827_ERCOT,"POINT(29.077257,-99.045925)",p65,ERCOT,ERCOT,ERCOT_S,WSC,TX,texas,USA,southern-plains,TX_S_ERCOT,5827,76,700013,5827,345138,0.0,New 345/138 kV 2W Transformer,2.0,0.0,0.12,0,2000,2000,Y,2TF,,,,,,,5827
30006365,YELWJCKT4B  -6365,30.932036,-99.785554,,138.0,0.0,PQ,6365_ERCOT,"POINT(30.932036,-99.785554)",p64,ERCOT,ERCOT,ERCOT_S,WSC,TX,texas,USA,southern-plains,TX_S_ERCOT,6365,199,700029,6365,345138,0.0,New 345/138 kV 2W Transformer,1.0,0.0,0.12,0,2000,2000,Y,2TF,,,,,,,6365
30006365,YELWJCKT4B  -6365,30.932036,-99.785554,,138.0,0.0,PQ,6365_ERCOT,"POINT(30.932036,-99.785554)",p64,ERCOT,ERCOT,ERCOT_S,WSC,TX,texas,USA,southern-plains,TX_S_ERCOT,6365,200,700029,6365,345138,0.0,New 345/138 kV 2W Transformer,2.0,0.0,0.12,0,2000,2000,Y,2TF,,,,,,,6365
30006390,FIREROCK4A  -6390,31.77602,-99.25037,,138.0,0.0,PQ,6390_ERCOT,"POINT(31.77602,-99.25037)",p61,ERCOT,ERCOT,ERCOT_W,WSC,TX,texas,USA,southern-plains,TX_W_ERCOT,6390,204,700030,76390,345138,0.0,New 345/138 kV 2W Transformer,1.0,0.0,0.12,0,2000,2000,Y,2TF,,,,,,,6390
30006390,FIREROCK4A  -6390,31.77602,-99.25037,,138.0,0.0,PQ,6390_ERCOT,"POINT(31.77602,-99.25037)",p61,ERCOT,ERCOT,ERCOT_W,WSC,TX,texas,USA,southern-plains,TX_W_ERCOT,6390,205,700030,76390,345138,0.0,New 345/138 kV 2W Transformer,2.0,0.0,0.12,0,2000,2000,Y,2TF,,,,,,,6390
30076390,L_FORTMA8_1N-76390,30.738315,-99.2323,,138.0,0.0,PQ,76390_ERCOT,"POINT(30.738315,-99.2323)",p64,ERCOT,ERCOT,ERCOT_S,WSC,TX,texas,USA,southern-plains,TX_S_ERCOT,6390,204,700030,76390,345138,0.0,New 345/138 kV 2W Transformer,1.0,0.0,0.12,0,2000,2000,Y,2TF,,,,,,,6390
30076390,L_FORTMA8_1N-76390,30.738315,-99.2323,,138.0,0.0,PQ,76390_ERCOT,"POINT(30.738315,-99.2323)",p64,ERCOT,ERCOT,ERCOT_S,WSC,TX,texas,USA,southern-plains,TX_S_ERCOT,6390,205,700030,76390,345138,0.0,New 345/138 kV 2W Transformer,2.0,0.0,0.12,0,2000,2000,Y,2TF,,,,,,,6390
